Variable = LogStrainRate, Temperature, P
Zone I = 51 J = 21 	
-3	573	0.122429
-2.9	573	0.122383
-2.8	573	0.122069
-2.7	573	0.12153
-2.6	573	0.120803
-2.5	573	0.119914
-2.4	573	0.118889
-2.3	573	0.117744
-2.2	573	0.116498
-2.1	573	0.115162
-2	573	0.113749
-1.9	573	0.112268
-1.8	573	0.11073
-1.7	573	0.109142
-1.6	573	0.107513
-1.5	573	0.10585
-1.4	573	0.104161
-1.3	573	0.102454
-1.2	573	0.100737
-1.1	573	0.099017
-1	573	0.097305
-0.9	573	0.095609
-0.8	573	0.093941
-0.7	573	0.092311
-0.6	573	0.090733
-0.5	573	0.089221
-0.4	573	0.087792
-0.3	573	0.086464
-0.2	573	0.085258
-0.1	573	0.084196
0	573	0.083305
0.1	573	0.082613
0.2	573	0.082149
0.3	573	0.081946
0.4	573	0.082038
0.5	573	0.082455
0.6	573	0.083228
0.7	573	0.08438
0.8	573	0.085924
0.9	573	0.087861
1	573	0.090171
1.1	573	0.092814
1.2	573	0.09572
1.3	573	0.098791
1.4	573	0.101903
1.5	573	0.104908
1.6	573	0.107642
1.7	573	0.109942
1.8	573	0.111654
1.9	573	0.112652
2	573	0.112846
		
-3	583	0.128079
-2.9	583	0.128098
-2.8	583	0.127934
-2.7	583	0.127607
-2.6	583	0.127135
-2.5	583	0.126534
-2.4	583	0.125814
-2.3	583	0.124987
-2.2	583	0.12406
-2.1	583	0.123042
-2	583	0.12194
-1.9	583	0.120759
-1.8	583	0.119507
-1.7	583	0.118188
-1.6	583	0.116809
-1.5	583	0.115376
-1.4	583	0.113893
-1.3	583	0.112368
-1.2	583	0.110807
-1.1	583	0.109216
-1	583	0.107602
-0.9	583	0.105974
-0.8	583	0.104338
-0.7	583	0.102706
-0.6	583	0.101085
-0.5	583	0.099489
-0.4	583	0.097929
-0.3	583	0.096419
-0.2	583	0.094975
-0.1	583	0.093615
0	583	0.092359
0.1	583	0.09123
0.2	583	0.090252
0.3	583	0.089452
0.4	583	0.088862
0.5	583	0.088513
0.6	583	0.088437
0.7	583	0.088669
0.8	583	0.08924
0.9	583	0.090175
1	583	0.091496
1.1	583	0.093207
1.2	583	0.0953
1.3	583	0.097744
1.4	583	0.100483
1.5	583	0.103432
1.6	583	0.106479
1.7	583	0.109485
1.8	583	0.112295
1.9	583	0.114744
2	583	0.116675
		
-3	593	0.130767
-2.9	593	0.130858
-2.8	593	0.130865
-2.7	593	0.130787
-2.6	593	0.13062
-2.5	593	0.130365
-2.4	593	0.130021
-2.3	593	0.129588
-2.2	593	0.129067
-2.1	593	0.12846
-2	593	0.127767
-1.9	593	0.126992
-1.8	593	0.126136
-1.7	593	0.125202
-1.6	593	0.124193
-1.5	593	0.123112
-1.4	593	0.121964
-1.3	593	0.120752
-1.2	593	0.119482
-1.1	593	0.118157
-1	593	0.116783
-0.9	593	0.115367
-0.8	593	0.113914
-0.7	593	0.112433
-0.6	593	0.110929
-0.5	593	0.109413
-0.4	593	0.107894
-0.3	593	0.106382
-0.2	593	0.104889
-0.1	593	0.10343
0	593	0.10202
0.1	593	0.100675
0.2	593	0.099415
0.3	593	0.098261
0.4	593	0.097239
0.5	593	0.096375
0.6	593	0.095698
0.7	593	0.095241
0.8	593	0.095035
0.9	593	0.095116
1	593	0.095517
1.1	593	0.096266
1.2	593	0.097388
1.3	593	0.098895
1.4	593	0.100786
1.5	593	0.103042
1.6	593	0.105616
1.7	593	0.108439
1.8	593	0.11141
1.9	593	0.114403
2	593	0.117269
		
-3	603	0.130245
-2.9	603	0.130408
-2.8	603	0.130594
-2.7	603	0.130776
-2.6	603	0.130936
-2.5	603	0.131055
-2.4	603	0.131123
-2.3	603	0.13113
-2.2	603	0.131067
-2.1	603	0.130931
-2	603	0.130716
-1.9	603	0.130421
-1.8	603	0.130043
-1.7	603	0.129582
-1.6	603	0.129038
-1.5	603	0.128412
-1.4	603	0.127705
-1.3	603	0.126919
-1.2	603	0.126058
-1.1	603	0.125123
-1	603	0.124118
-0.9	603	0.123047
-0.8	603	0.121916
-0.7	603	0.120729
-0.6	603	0.119492
-0.5	603	0.118211
-0.4	603	0.116894
-0.3	603	0.115548
-0.2	603	0.114184
-0.1	603	0.112811
0	603	0.11144
0.1	603	0.110085
0.2	603	0.10876
0.3	603	0.107482
0.4	603	0.106269
0.5	603	0.105143
0.6	603	0.104127
0.7	603	0.103247
0.8	603	0.102531
0.9	603	0.102012
1	603	0.101723
1.1	603	0.101697
1.2	603	0.101969
1.3	603	0.102572
1.4	603	0.103531
1.5	603	0.104866
1.6	603	0.106583
1.7	603	0.10867
1.8	603	0.111096
1.9	603	0.1138
2	603	0.116698
		
-3	613	0.126563
-2.9	613	0.12679
-2.8	613	0.127143
-2.7	613	0.127575
-2.6	613	0.12805
-2.5	613	0.128537
-2.4	613	0.129015
-2.3	613	0.129463
-2.2	613	0.129869
-2.1	613	0.130219
-2	613	0.130506
-1.9	613	0.130723
-1.8	613	0.130863
-1.7	613	0.130923
-1.6	613	0.130899
-1.5	613	0.130791
-1.4	613	0.130597
-1.3	613	0.130316
-1.2	613	0.12995
-1.1	613	0.129498
-1	613	0.128963
-0.9	613	0.128346
-0.8	613	0.127651
-0.7	613	0.126879
-0.6	613	0.126037
-0.5	613	0.125126
-0.4	613	0.124154
-0.3	613	0.123124
-0.2	613	0.122045
-0.1	613	0.120923
0	613	0.119767
0.1	613	0.118587
0.2	613	0.117392
0.3	613	0.116196
0.4	613	0.115012
0.5	613	0.113856
0.6	613	0.112746
0.7	613	0.111702
0.8	613	0.110746
0.9	613	0.109905
1	613	0.109206
1.1	613	0.10868
1.2	613	0.108359
1.3	613	0.108278
1.4	613	0.108473
1.5	613	0.108977
1.6	613	0.109819
1.7	613	0.111024
1.8	613	0.112605
1.9	613	0.114557
2	613	0.116861
		
-3	623	0.120059
-2.9	623	0.120337
-2.8	623	0.120831
-2.7	623	0.121477
-2.6	623	0.122226
-2.5	623	0.12304
-2.4	623	0.123885
-2.3	623	0.124736
-2.2	623	0.125574
-2.1	623	0.126382
-2	623	0.127147
-1.9	623	0.127858
-1.8	623	0.128506
-1.7	623	0.129085
-1.6	623	0.12959
-1.5	623	0.130014
-1.4	623	0.130357
-1.3	623	0.130613
-1.2	623	0.130783
-1.1	623	0.130865
-1	623	0.130858
-0.9	623	0.130763
-0.8	623	0.130579
-0.7	623	0.130309
-0.6	623	0.129953
-0.5	623	0.129515
-0.4	623	0.128997
-0.3	623	0.128403
-0.2	623	0.127736
-0.1	623	0.127002
0	623	0.126206
0.1	623	0.125356
0.2	623	0.124457
0.3	623	0.12352
0.4	623	0.122554
0.5	623	0.12157
0.6	623	0.120582
0.7	623	0.119604
0.8	623	0.118654
0.9	623	0.117749
1	623	0.116913
1.1	623	0.116169
1.2	623	0.115545
1.3	623	0.11507
1.4	623	0.114777
1.5	623	0.114701
1.6	623	0.114875
1.7	623	0.115337
1.8	623	0.116117
1.9	623	0.117244
2	623	0.118736
		
-3	633	0.111299
-2.9	633	0.111611
-2.8	633	0.112208
-2.7	633	0.113016
-2.6	633	0.113978
-2.5	633	0.115048
-2.4	633	0.116188
-2.3	633	0.117369
-2.2	633	0.118566
-2.1	633	0.11976
-2	633	0.120935
-1.9	633	0.122078
-1.8	633	0.123178
-1.7	633	0.124226
-1.6	633	0.125214
-1.5	633	0.126136
-1.4	633	0.126987
-1.3	633	0.127763
-1.2	633	0.128459
-1.1	633	0.129073
-1	633	0.129603
-0.9	633	0.130046
-0.8	633	0.130401
-0.7	633	0.130668
-0.6	633	0.130847
-0.5	633	0.130936
-0.4	633	0.130938
-0.3	633	0.130854
-0.2	633	0.130685
-0.1	633	0.130434
0	633	0.130104
0.1	633	0.129699
0.2	633	0.129224
0.3	633	0.128684
0.4	633	0.128086
0.5	633	0.127438
0.6	633	0.126747
0.7	633	0.126026
0.8	633	0.125285
0.9	633	0.124539
1	633	0.123802
1.1	633	0.123095
1.2	633	0.122436
1.3	633	0.121849
1.4	633	0.12136
1.5	633	0.120999
1.6	633	0.120796
1.7	633	0.120786
1.8	633	0.121004
1.9	633	0.121485
2	633	0.122265
		
-3	643	0.10098
-2.9	643	0.101309
-2.8	643	0.101967
-2.7	643	0.102877
-2.6	643	0.103978
-2.5	643	0.10522
-2.4	643	0.106564
-2.3	643	0.107978
-2.2	643	0.109436
-2.1	643	0.110917
-2	643	0.112404
-1.9	643	0.113883
-1.8	643	0.11534
-1.7	643	0.116767
-1.6	643	0.118155
-1.5	643	0.119495
-1.4	643	0.120781
-1.3	643	0.122009
-1.2	643	0.123172
-1.1	643	0.124267
-1	643	0.12529
-0.9	643	0.126237
-0.8	643	0.127106
-0.7	643	0.127893
-0.6	643	0.128598
-0.5	643	0.129219
-0.4	643	0.129754
-0.3	643	0.130202
-0.2	643	0.130564
-0.1	643	0.130841
0	643	0.131031
0.1	643	0.131138
0.2	643	0.131164
0.3	643	0.13111
0.4	643	0.130981
0.5	643	0.130781
0.6	643	0.130516
0.7	643	0.130192
0.8	643	0.129816
0.9	643	0.129399
1	643	0.128951
1.1	643	0.128483
1.2	643	0.128012
1.3	643	0.127554
1.4	643	0.127128
1.5	643	0.126756
1.6	643	0.126462
1.7	643	0.126275
1.8	643	0.126226
1.9	643	0.126346
2	643	0.126672
		
-3	653	0.089826
-2.9	653	0.090155
-2.8	653	0.090834
-2.7	653	0.091787
-2.6	653	0.092952
-2.5	653	0.094281
-2.4	653	0.095734
-2.3	653	0.097279
-2.2	653	0.098891
-2.1	653	0.100548
-2	653	0.102234
-1.9	653	0.103934
-1.8	653	0.105635
-1.7	653	0.107327
-1.6	653	0.109001
-1.5	653	0.11065
-1.4	653	0.112266
-1.3	653	0.113844
-1.2	653	0.115377
-1.1	653	0.11686
-1	653	0.11829
-0.9	653	0.119661
-0.8	653	0.12097
-0.7	653	0.122214
-0.6	653	0.123388
-0.5	653	0.12449
-0.4	653	0.125518
-0.3	653	0.126469
-0.2	653	0.127341
-0.1	653	0.128133
0	653	0.128844
0.1	653	0.129473
0.2	653	0.13002
0.3	653	0.130486
0.4	653	0.13087
0.5	653	0.131176
0.6	653	0.131406
0.7	653	0.131562
0.8	653	0.13165
0.9	653	0.131674
1	653	0.131642
1.1	653	0.131561
1.2	653	0.13144
1.3	653	0.131291
1.4	653	0.131127
1.5	653	0.130964
1.6	653	0.13082
1.7	653	0.130714
1.8	653	0.130671
1.9	653	0.130717
2	653	0.130881
		
-3	663	0.078495
-2.9	663	0.078811
-2.8	663	0.079477
-2.7	663	0.080422
-2.6	663	0.081586
-2.5	663	0.082925
-2.4	663	0.0844
-2.3	663	0.085981
-2.2	663	0.087646
-2.1	663	0.089372
-2	663	0.091145
-1.9	663	0.092951
-1.8	663	0.094777
-1.7	663	0.096615
-1.6	663	0.098456
-1.5	663	0.100292
-1.4	663	0.102116
-1.3	663	0.103923
-1.2	663	0.105707
-1.1	663	0.107463
-1	663	0.109186
-0.9	663	0.110871
-0.8	663	0.112514
-0.7	663	0.114111
-0.6	663	0.115658
-0.5	663	0.117152
-0.4	663	0.118588
-0.3	663	0.119964
-0.2	663	0.121277
-0.1	663	0.122524
0	663	0.123702
0.1	663	0.124809
0.2	663	0.125843
0.3	663	0.126803
0.4	663	0.127689
0.5	663	0.128499
0.6	663	0.129233
0.7	663	0.129892
0.8	663	0.130479
0.9	663	0.130994
1	663	0.131441
1.1	663	0.131825
1.2	663	0.13215
1.3	663	0.132424
1.4	663	0.132654
1.5	663	0.13285
1.6	663	0.133026
1.7	663	0.133193
1.8	663	0.133369
1.9	663	0.133574
2	663	0.133827
		
-3	673	0.067523
-2.9	673	0.067815
-2.8	673	0.068443
-2.7	673	0.06934
-2.6	673	0.070453
-2.5	673	0.07174
-2.4	673	0.073167
-2.3	673	0.074707
-2.2	673	0.076338
-2.1	673	0.078043
-2	673	0.079806
-1.9	673	0.081616
-1.8	673	0.083462
-1.7	673	0.085335
-1.6	673	0.087228
-1.5	673	0.089135
-1.4	673	0.091049
-1.3	673	0.092964
-1.2	673	0.094877
-1.1	673	0.096782
-1	673	0.098674
-0.9	673	0.10055
-0.8	673	0.102405
-0.7	673	0.104235
