Variables = LogStrainRate, Temperature, Xi
Zone I = 51 J = 21 F = POINT	
-3	573	-0.297457
-2.9	573	-0.3564
-2.8	573	-0.412881
-2.7	573	-0.465148
-2.6	573	-0.510923
-2.5	573	-0.547346
-2.4	573	-0.571023
-2.3	573	-0.578274
-2.2	573	-0.565679
-2.1	573	-0.530949
-2	573	-0.47396
-1.9	573	-0.397569
-1.8	573	-0.307727
-1.7	573	-0.212655
-1.6	573	-0.121245
-1.5	573	-0.04124
-1.4	573	0.022155
-1.3	573	0.066788
-1.2	573	0.093172
-1.1	573	0.10356
-1	573	0.100939
-0.9	573	0.088284
-0.8	573	0.068124
-0.7	573	0.042391
-0.6	573	0.012415
-0.5	573	-0.021009
-0.4	573	-0.057548
-0.3	573	-0.097267
-0.2	573	-0.14062
-0.1	573	-0.188467
0	573	-0.242178
0.1	573	-0.30384
0.2	573	-0.376662
0.3	573	-0.46579
0.4	573	-0.580068
0.5	573	-0.736353
0.6	573	-0.972422
0.7	573	-1.402427
0.8	573	-2.918414
0.9	573	-1.41593
1	573	-0.436324
1.1	573	0.320963
1.2	573	1.228068
1.3	573	4.364403
1.4	573	1.503711
1.5	573	1.013491
1.6	573	0.753615
1.7	573	0.582602
1.8	573	0.457011
1.9	573	0.358227
2	573	0.276792
		
-3	583	-0.212584
-2.9	583	-0.263784
-2.8	583	-0.311449
-2.7	583	-0.354038
-2.6	583	-0.38975
-2.5	583	-0.416593
-2.4	583	-0.432533
-2.3	583	-0.435749
-2.2	583	-0.42499
-2.1	583	-0.399985
-2	583	-0.36179
-1.9	583	-0.312932
-1.8	583	-0.257232
-1.7	583	-0.199306
-1.6	583	-0.143843
-1.5	583	-0.094889
-1.4	583	-0.05532
-1.3	583	-0.026654
-1.2	583	-0.00917
-1.1	583	-0.002238
-1	583	-0.004717
-0.9	583	-0.015301
-0.8	583	-0.032766
-0.7	583	-0.056126
-0.6	583	-0.084699
-0.5	583	-0.11815
-0.4	583	-0.1565
-0.3	583	-0.200168
-0.2	583	-0.250036
-0.1	583	-0.307597
0	583	-0.375233
0.1	583	-0.456767
0.2	583	-0.558599
0.3	583	-0.692287
0.4	583	-0.881412
0.5	583	-1.185032
0.6	583	-1.83296
0.7	583	-2.61922
0.8	583	-0.979317
0.9	583	-0.165122
1	583	0.60771
1.1	583	1.815467
1.2	583	2.020514
1.3	583	1.14216
1.4	583	0.78515
1.5	583	0.570755
1.6	583	0.420963
1.7	583	0.307
1.8	583	0.215397
1.9	583	0.138932
2	583	0.07337
		
-3	593	-0.138067
-2.9	593	-0.184761
-2.8	593	-0.227665
-2.7	593	-0.265522
-2.6	593	-0.296978
-2.5	593	-0.320673
-2.4	593	-0.335375
-2.3	593	-0.340171
-2.2	593	-0.334672
-2.1	593	-0.319208
-2	593	-0.294946
-1.9	593	-0.263877
-1.8	593	-0.228641
-1.7	593	-0.192218
-1.6	593	-0.157552
-1.5	593	-0.127189
-1.4	593	-0.103031
-1.3	593	-0.086241
-1.2	593	-0.077289
-1.1	593	-0.076107
-1	593	-0.082279
-0.9	593	-0.095231
-0.8	593	-0.114382
-0.7	593	-0.139254
-0.6	593	-0.169544
-0.5	593	-0.205185
-0.4	593	-0.246383
-0.3	593	-0.293687
-0.2	593	-0.348087
-0.1	593	-0.411192
0	593	-0.485557
0.1	593	-0.575324
0.2	593	-0.687543
0.3	593	-0.835259
0.4	593	-1.046019
0.5	593	-1.393096
0.6	593	-2.212694
0.7	593	-2.211118
0.8	593	-0.942368
0.9	593	-0.167972
1	593	0.62914
1.1	593	2.132063
1.2	593	1.581441
1.3	593	0.886522
1.4	593	0.565006
1.5	593	0.363163
1.6	593	0.21845
1.7	593	0.106308
1.8	593	0.014802
1.9	593	-0.062668
2	593	-0.130089
		
-3	603	-0.071465
-2.9	603	-0.115744
-2.8	603	-0.156351
-2.7	603	-0.192282
-2.6	603	-0.222522
-2.5	603	-0.246127
-2.4	603	-0.262333
-2.3	603	-0.270682
-2.2	603	-0.271142
-2.1	603	-0.264202
-2	603	-0.250904
-1.9	603	-0.232793
-1.8	603	-0.211784
-1.7	603	-0.18996
-1.6	603	-0.169347
-1.5	603	-0.151713
-1.4	603	-0.138421
-1.3	603	-0.130374
-1.2	603	-0.128028
-1.1	603	-0.131472
-1	603	-0.140522
-0.9	603	-0.154829
-0.8	603	-0.173968
-0.7	603	-0.197497
-0.6	603	-0.225006
-0.5	603	-0.256133
-0.4	603	-0.290575
-0.3	603	-0.328078
-0.2	603	-0.36843
-0.1	603	-0.411438
0	603	-0.456904
0.1	603	-0.504591
0.2	603	-0.554164
0.3	603	-0.605121
0.4	603	-0.656664
0.5	603	-0.707525
0.6	603	-0.755692
0.7	603	-0.798043
0.8	603	-0.829903
0.9	603	-0.844689
1	603	-0.834033
1.1	603	-0.789012
1.2	603	-0.703002
1.3	603	-0.575534
1.4	603	-0.415064
1.5	603	-0.23842
1.6	603	-0.066687
1.7	603	0.080671
1.8	603	0.191028
1.9	603	0.26088
2	603	0.2944
		
-3	613	-0.011545
-2.9	613	-0.054856
-2.8	613	-0.094782
-2.7	613	-0.130514
-2.6	613	-0.161271
-2.5	613	-0.186371
-2.4	613	-0.205307
-2.3	613	-0.217832
-2.2	613	-0.224035
-2.1	613	-0.224377
-2	613	-0.219702
-1.9	613	-0.211178
-1.8	613	-0.200197
-1.7	613	-0.188243
-1.6	613	-0.176738
-1.5	613	-0.166914
-1.4	613	-0.15972
-1.3	613	-0.155771
-1.2	613	-0.155348
-1.1	613	-0.158433
-1	613	-0.164762
-0.9	613	-0.173883
-0.8	613	-0.185211
-0.7	613	-0.198074
-0.6	613	-0.211741
-0.5	613	-0.225455
-0.4	613	-0.238447
-0.3	613	-0.249958
-0.2	613	-0.25926
-0.1	613	-0.265691
0	613	-0.268689
0.1	613	-0.267836
0.2	613	-0.262906
0.3	613	-0.253906
0.4	613	-0.241098
0.5	613	-0.225004
0.6	613	-0.206378
0.7	613	-0.186145
0.8	613	-0.165322
0.9	613	-0.144922
1	613	-0.125863
1.1	613	-0.108902
1.2	613	-0.094584
1.3	613	-0.083238
1.4	613	-0.074985
1.5	613	-0.069774
1.6	613	-0.067426
1.7	613	-0.067676
1.8	613	-0.070217
1.9	613	-0.074733
2	613	-0.080917
		
-3	623	0.042311
-2.9	623	-0.000994
-2.8	623	-0.041229
-2.7	623	-0.077708
-2.6	623	-0.109784
-2.5	623	-0.136903
-2.4	623	-0.15866
-2.3	623	-0.174855
-2.2	623	-0.185542
-2.1	623	-0.191048
-2	623	-0.191965
-1.9	623	-0.189111
-1.8	623	-0.183455
-1.7	623	-0.17602
-1.6	623	-0.167786
-1.5	623	-0.159598
-1.4	623	-0.152102
-1.3	623	-0.145714
-1.2	623	-0.140614
